benchmark,profile,candidate_name,family,valid,duplicate,admitted,not_admitted,scored,skip_reason,proxy_cost,approx_delta,is_selected,scored_pool_selectable,selected_via_fallback,placement_hash,source_stage,generated,region_id,region_signature,moved_macro_ids,move_type,legalization_status,legalization_failure_reason,pre_legalization_approx_delta,post_legalization_approx_delta,legalization_displacement_max,legalization_displacement_mean
ibm01,m4b-default,original_neighborhood_m32_down_s,original_neighborhood,True,False,True,False,True,scored,1.1407736539840698,-3.3600082397460938,False,True,False,ef2f92a2,1,True,,,,down_s,,,,,,
ibm01,m4b-default,original_neighborhood_m71_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.1407740116119385,-3.2688961029052734,False,True,False,fc30b9a6,1,True,,,,toward_centroid,,,,,,
ibm01,m4b-default,original_neighborhood_m71_down_s,original_neighborhood,True,False,True,False,True,scored,1.1407747268676758,-2.9952011108398438,False,True,False,5b4ad3bd,1,True,,,,down_s,,,,,,
ibm01,m4b-default,original_refinement_m54_tiny0p25um_p0_m1,original_refinement,True,False,True,False,True,scored,1.1407747268676758,-3.25,False,True,False,a9d140ef,2,True,,,,,,,,,,
ibm01,m4b-default,original_neighborhood_m54_down_s,original_neighborhood,True,False,True,False,True,scored,1.1407750844955444,-3.119997024536133,False,True,False,a93e556b,1,True,,,,down_s,,,,,,
ibm01,m4b-default,original_neighborhood_m54_left_s,original_neighborhood,True,False,True,False,True,scored,1.140775442123413,-2.753997802734375,False,True,False,d24d9d81,1,True,,,,left_s,,,,,,
ibm01,m4b-default,original_refinement_m54_scale2x,original_refinement,True,False,True,False,True,scored,1.1407784223556519,-8.177133560180664,False,True,False,3c23d89c,2,True,,,,,,,,,,
ibm01,m4b-default,original_neighborhood_m117_down_s,original_neighborhood,True,False,True,False,True,scored,1.140790581703186,-3.6400089263916016,False,True,False,0d539cc1,1,True,,,,down_s,,,,,,
ibm01,m4b-default,original_neighborhood_m150_right_s,original_neighborhood,True,False,True,False,True,scored,1.1407926082611084,-3.030000686645508,False,True,False,d96f2020,1,True,,,,right_s,,,,,,
ibm01,m4b-default,original_neighborhood_m173_left_s,original_neighborhood,True,False,True,False,True,scored,1.140792727470398,-3.0300064086914062,False,True,False,0b7693bf,1,True,,,,left_s,,,,,,
ibm01,m4b-default,original_line_search_m22_scale2x,original_line_search,True,False,True,False,True,scored,1.1407935619354248,-5.9669952392578125,False,True,False,d5263724,3,True,,,,,,,,,,
ibm01,m4b-default,original_neighborhood_m117_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.14080011844635,-4.548145294189453,False,True,False,63f595fe,1,True,,,,toward_centroid,,,,,,
ibm01,m4b-default,original_neighborhood_m190_down_s,original_neighborhood,True,False,True,False,True,scored,1.1409589052200317,-2.764801025390625,False,True,False,659971ca,1,True,,,,down_s,,,,,,
ibm01,m4b-default,original_neighborhood_m5_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.1423289775848389,-2.914133071899414,False,True,False,76dcce46,1,True,,,,toward_centroid,,,,,,
ibm01,m4b-default,original_refinement_m243_scale2x,original_refinement,True,False,True,False,True,scored,1.1430327892303467,-22.455503940582275,False,True,False,de4f9e4c,2,True,,,,,,,,,,
ibm01,m4b-default,original_refinement_combo2_m173_m243,original_refinement,True,False,True,False,True,scored,1.172194242477417,-60.59062957763672,False,True,False,91f374f7,2,True,,,"[243, 173]",,,,,,,
ibm01,m4b-default,original_refinement_combo2_m117_m243,original_refinement,True,False,True,False,True,scored,1.172433614730835,-61.02880096435547,False,True,False,58369dac,2,True,,,"[243, 117]",,,,,,,
ibm01,m4b-default,original_refinement_combo2_m54_m243,original_refinement,True,False,True,False,True,scored,1.1724739074707031,-60.56922149658203,False,True,False,32e04112,2,True,,,"[243, 54]",,,,,,,
ibm01,m4b-default,original_neighborhood_m243_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.172485589981079,-56.480655670166016,False,True,False,96f3e292,1,True,,,,toward_centroid,,,,,,
ibm01,m4b-default,original_legalized,original,True,True,True,False,False,duplicate,1.0384976863861084,,False,False,False,168bb848,1,True,,,,,,,,,,
ibm01,m4b-default,m3a_p0_0_166_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,above,,,,,,
ibm01,m4b-default,m3a_p0_0_166_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,left,,,,,,
ibm01,m4b-default,m3a_p0_0_166_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,right,,,,,,
ibm01,m4b-default,m3a_p10_27_136_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,above,,,,,,
ibm01,m4b-default,m3a_p10_27_136_below,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,c4d1fefa,4,True,,,,below,,,,,,
ibm01,m4b-default,m3a_p10_27_136_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,centroid_shift,,,,,,
ibm01,m4b-default,m3a_p10_27_136_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,left,,,,,,
ibm01,m4b-default,m3a_p10_27_136_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,right,,,,,,
ibm01,m4b-default,m3a_p10_27_136_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,swap,,,,,,
ibm01,m4b-default,m3a_p11_29_154_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,above,,,,,,
ibm01,m4b-default,m3a_p11_29_154_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,below,,,,,,
ibm01,m4b-default,m3a_p11_29_154_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,centroid_shift,,,,,,
ibm01,m4b-default,m3a_p11_29_154_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,left,,,,,,
ibm01,m4b-default,m3a_p11_29_154_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,right,,,,,,
ibm01,m4b-default,m3a_p11_29_154_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,swap,,,,,,
ibm01,m4b-default,m3a_p12_31_157_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,above,,,,,,
ibm01,m4b-default,m3a_p12_31_157_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,below,,,,,,
ibm01,m4b-default,m3a_p12_31_157_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,centroid_shift,,,,,,
ibm01,m4b-default,m3a_p12_31_157_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,left,,,,,,
ibm01,m4b-default,m3a_p12_31_157_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,right,,,,,,
ibm01,m4b-default,m3a_p12_31_157_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,swap,,,,,,
ibm01,m4b-default,m3a_p13_33_39_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,above,,,,,,
ibm01,m4b-default,m3a_p13_33_39_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,below,,,,,,
ibm01,m4b-default,m3a_p13_33_39_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,centroid_shift,,,,,,
ibm01,m4b-default,m3a_p13_33_39_left,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,04af0019,4,True,,,,left,,,,,,
ibm01,m4b-default,m3a_p13_33_39_right,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,9b66683e,4,True,,,,right,,,,,,
ibm01,m4b-default,m3a_p13_33_39_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,swap,,,,,,
ibm01,m4b-default,m3a_p14_33_235_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,above,,,,,,
ibm01,m4b-default,m3a_p14_33_235_below,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,708e444e,4,True,,,,below,,,,,,
ibm01,m4b-default,m3a_p14_33_235_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,centroid_shift,,,,,,
ibm01,m4b-default,m3a_p14_33_235_left,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,dcd0a4ef,4,True,,,,left,,,,,,
ibm01,m4b-default,m3a_p14_33_235_right,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,867018c8,4,True,,,,right,,,,,,
ibm01,m4b-default,m3a_p14_33_235_swap,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,5a16fa19,4,True,,,,swap,,,,,,
ibm01,m4b-default,m3a_p15_35_116_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,above,,,,,,
ibm01,m4b-default,m3a_p15_35_116_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,below,,,,,,
ibm01,m4b-default,m3a_p15_35_116_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,centroid_shift,,,,,,
ibm01,m4b-default,m3a_p15_35_116_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,left,,,,,,
ibm01,m4b-default,m3a_p15_35_116_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,right,,,,,,
ibm01,m4b-default,m3a_p15_35_116_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,swap,,,,,,
ibm01,m4b-default,m3a_p16_38_77_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,above,,,,,,
ibm01,m4b-default,m3a_p16_38_77_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,below,,,,,,
ibm01,m4b-default,m3a_p16_38_77_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,centroid_shift,,,,,,
ibm01,m4b-default,m3a_p16_38_77_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,left,,,,,,
ibm01,m4b-default,m3a_p16_38_77_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,right,,,,,,
ibm01,m4b-default,m3a_p16_38_77_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,swap,,,,,,
ibm01,m4b-default,m3a_p17_38_184_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,above,,,,,,
ibm01,m4b-default,m3a_p17_38_184_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,below,,,,,,
ibm01,m4b-default,m3a_p17_38_184_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,centroid_shift,,,,,,
ibm01,m4b-default,m3a_p17_38_184_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,left,,,,,,
ibm01,m4b-default,m3a_p17_38_184_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,right,,,,,,
ibm01,m4b-default,m3a_p17_38_184_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,swap,,,,,,
ibm01,m4b-default,m3a_p18_48_153_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,above,,,,,,
ibm01,m4b-default,m3a_p18_48_153_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,below,,,,,,
ibm01,m4b-default,m3a_p18_48_153_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,centroid_shift,,,,,,
ibm01,m4b-default,m3a_p18_48_153_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,left,,,,,,
ibm01,m4b-default,m3a_p18_48_153_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,right,,,,,,
ibm01,m4b-default,m3a_p18_48_153_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,swap,,,,,,
ibm01,m4b-default,m3a_p19_54_205_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,above,,,,,,
ibm01,m4b-default,m3a_p19_54_205_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,below,,,,,,
ibm01,m4b-default,m3a_p19_54_205_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,centroid_shift,,,,,,
ibm01,m4b-default,m3a_p19_54_205_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,left,,,,,,
ibm01,m4b-default,m3a_p19_54_205_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4,True,,,,right,,,,,,
