benchmark,profile,candidate_name,family,valid,duplicate,admitted,not_admitted,scored,skip_reason,proxy_cost,approx_delta,is_selected,scored_pool_selectable,selected_via_fallback,placement_hash,source_stage,generated,region_id,region_signature,moved_macro_ids,move_type,legalization_status,legalization_failure_reason,pre_legalization_approx_delta,post_legalization_approx_delta,legalization_displacement_max,legalization_displacement_mean,m4c_rank_score,m4c_rank_bucket,m4c_rank_reason,family_rank,family_normalized_approx_delta,m4d_rank_score,m4d_family_normalized_approx_delta,m4d_cross_family_rank,m4d_rank_reason
ibm01,m4d-default,original_refinement_m117_scale0p25x,original_refinement,True,False,True,False,True,scored,1.0385379791259766,-1.13702392578125,False,True,False,588e263e,2,True,,,,,,,,,,,,,,,,0.48322147651006714,0.7511146265553683,121,family=original_refinement rank=73/150 percentile=0.483221
ibm01,m4d-default,m4b_r7_m7_m16_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.0385533571243286,-9.097414016723633,False,True,False,e7dca4f3,6,True,7,e11bc37f,"[7, 16]",centroid_shift,legalized,,2.4268856048583984,-9.097414016723633,0.7071067811865476,0.6035533905932737,0.1639393799763996,ranked,ranked:family_rank=5,5,0.1639393799763996,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,original_refinement_m215_tiny0p5um_p0_m1,original_refinement,True,False,True,False,True,scored,1.0386070013046265,-5.839996337890625,False,True,False,26043772,2,True,,,,,,,,,,,,,,,,0.24161073825503357,0.6921337189635534,61,family=original_refinement rank=37/150 percentile=0.241611
ibm01,m4d-default,m3a_p6_10_63_swap,m3a_pair_refinement,True,False,True,False,True,scored,1.0387890338897705,,False,True,False,ee8ca027,4,True,,,,swap,,,,,,,,,,,,,,,family=m3a_pair_refinement approx_null=True excluded
ibm01,m4d-default,m4b_r8_m1_m30_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.0388257503509521,-17.072521209716797,False,True,False,01e7ee2b,6,True,8,057217a0,"[1, 30]",centroid_shift,legalized,,-0.8260650634765625,-17.072521209716797,2.5495097567963922,2.524754878398196,0.12552462764183628,ranked,ranked:family_rank=3,3,0.12552462764183628,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,m4b_r5_m5_m22_spread,m4b_region_repair,True,False,True,False,True,scored,1.0389175415039062,-3.3015003204345703,False,True,False,41c811f9,6,True,5,122d5226,"[5, 22]",spread,legalized,,3.1984996795654297,-3.3015003204345703,0.5,0.5,0.19185732312217502,ranked,ranked:family_rank=16,16,0.19185732312217502,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,m4b_r0_m9_m14_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.0389518737792969,31.009321212768555,False,True,False,57692d3f,6,True,0,1d09ca12,"[9, 14]",centroid_shift,legalized,,4.6675403118133545,31.009321212768555,2.23606797749979,2.23606797749979,0.35712678968826905,exploration,exploration:fifo_position=2,98,0.35712678968826905,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,m4b_r0_m9_m13_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.0389760732650757,23.86066770553589,False,True,False,d64a6a92,6,True,0,1d09ca12,"[9, 13]",centroid_shift,legalized,,4.254916667938232,23.86066770553589,2.0,2.0,0.3226929259971048,exploration,exploration:fifo_position=0,86,0.3226929259971048,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,m4b_r8_m1_m30_spread,m4b_region_repair,True,False,True,False,True,scored,1.0390175580978394,-3.84993839263916,False,True,False,e9e50cbd,6,True,8,057217a0,"[1, 30]",spread,legalized,,2.3000011444091797,-3.84993839263916,2.1213203435596424,2.060660171779821,0.1892155890106768,ranked,ranked:family_rank=15,15,0.1892155890106768,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,m4b_r0_m9_m14_spread,m4b_region_repair,True,False,True,False,True,scored,1.039093017578125,18.13545298576355,False,True,False,2ec22c9f,6,True,0,1d09ca12,"[9, 14]",spread,legalized,,1.2953064441680908,18.13545298576355,2.0,2.0,0.2951155279509091,exploration,exploration:fifo_position=3,81,0.2951155279509091,,,,family=m4b_region_repair approx_null=False excluded
