benchmark,profile,candidate_name,family,valid,duplicate,admitted,not_admitted,scored,skip_reason,proxy_cost,approx_delta,is_selected,scored_pool_selectable,selected_via_fallback,placement_hash,source_stage
ibm01,m3c-default,original_refinement_combo2_m173_m243,original_refinement,True,False,True,False,True,scored,1.172194242477417,-60.59062957763672,False,True,False,91f374f7,2
ibm01,m3c-default,original_refinement_combo2_m117_m243,original_refinement,True,False,True,False,True,scored,1.172433614730835,-61.02880096435547,False,True,False,58369dac,2
ibm01,m3c-default,original_refinement_combo2_m54_m243,original_refinement,True,False,True,False,True,scored,1.1724739074707031,-60.56922149658203,False,True,False,32e04112,2
ibm01,m3c-default,original_neighborhood_m243_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.172485589981079,-56.480655670166016,False,True,False,96f3e292,1
ibm01,m3c-default,original_legalized,original,True,True,True,False,False,duplicate,1.0384976863861084,,False,False,False,168bb848,1
ibm01,m3c-default,m3a_p0_0_166_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p0_0_166_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p0_0_166_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p10_27_136_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p10_27_136_below,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,c4d1fefa,4
ibm01,m3c-default,m3a_p10_27_136_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p10_27_136_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p10_27_136_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p10_27_136_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p11_29_154_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p11_29_154_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
